new_cluster_id,coordinates
164,"[[[-101.864, 15.15], [-101.864, 19.4313], [-97.3396, 19.4313], [-97.3396, 15.15], [-101.864, 15.15]]]"
165,"[[[120.9311, 3.0782], [120.9311, 7.8705], [128.1209, 7.8705], [128.1209, 3.0782], [120.9311, 3.0782]]]"
166,"[[[47.4227, 27.2463], [47.4227, 34.2551], [52.6357, 34.2551], [52.6357, 27.2463], [47.4227, 27.2463]]]"
167,"[[[105.8441, -10.6356], [105.8441, -5.481], [110.8309, -5.481], [110.8309, -10.6356], [105.8441, -10.6356]]]"
168,"[[[18.5227, 39.3763], [18.5227, 45.9573], [23.2494, 45.9573], [23.2494, 39.3763], [18.5227, 39.3763]]]"
169,"[[[-110.0976, 18.9395], [-110.0976, 25.3072], [-106.2249, 25.3072], [-106.2249, 18.9395], [-110.0976, 18.9395]]]"
170,"[[[141.7416, 45.3199], [141.7416, 53.8523], [148.9614, 53.8523], [148.9614, 45.3199], [141.7416, 45.3199]]]"
171,"[[[118.0747, -4.118], [118.0747, 3.754], [124.5783, 3.754], [124.5783, -4.118], [118.0747, -4.118]]]"
172,"[[[163.2609, -13.8051], [163.2609, -10.2249], [168.0575, -10.2249], [168.0575, -13.8051], [163.2609, -13.8051]]]"
173,"[[[-107.4605, 28.1509], [-107.4605, 33.9486], [-100.469, 33.9486], [-100.469, 28.1509], [-107.4605, 28.1509]]]"
174,"[[[95.7216, 23.3243], [95.7216, 29.5132], [100.8872, 29.5132], [100.8872, 23.3243], [95.7216, 23.3243]]]"
175,"[[[-83.5875, 32.149666667], [-83.5875, 35.195], [-79.9386667, 35.195], [-79.9386667, 32.149666667], [-83.5875, 32.149666667]]]"
176,"[[[46.7036, 36.566], [46.7036, 42.4665], [53.143, 42.4665], [53.143, 36.566], [46.7036, 36.566]]]"
177,"[[[-141.6557, 62.1445], [-141.6557, 68.453], [-133.1729, 68.453], [-133.1729, 62.1445], [-141.6557, 62.1445]]]"
178,"[[[-69.5786, -33.6487], [-69.5786, -27.2384], [-62.8535, -27.2384], [-62.8535, -33.6487], [-69.5786, -33.6487]]]"
179,"[[[-79.0514, -48.8246], [-79.0514, -41.2677], [-72.2325, -41.2677], [-72.2325, -48.8246], [-79.0514, -48.8246]]]"
180,"[[[-179.9987, 49.6097], [-179.9987, 53.8554], [-175.5595, 53.8554], [-175.5595, 49.6097], [-179.9987, 49.6097]]]"
181,"[[[-78.9503, -6.4376], [-78.9503, -1.0243], [-74.0062, -1.0243], [-74.0062, -6.4376], [-78.9503, -6.4376]]]"
182,"[[[24.6937, 34.5088], [24.6937, 38.6321], [29.1556, 38.6321], [29.1556, 34.5088], [24.6937, 34.5088]]]"
183,"[[[21.2857, 31.4497], [21.2857, 36.277], [26.7963, 36.277], [26.7963, 31.4497], [21.2857, 31.4497]]]"
184,"[[[75.3219, 26.8685], [75.3219, 32.568], [79.9831, 32.568], [79.9831, 26.8685], [75.3219, 26.8685]]]"
185,"[[[-119.5407, 29.6376], [-119.5407, 35.5857], [-114.1633333, 35.5857], [-114.1633333, 29.6376], [-119.5407, 29.6376]]]"
186,"[[[-144.5022, 55.2988], [-144.5022, 64.9435], [-138.0162, 64.9435], [-138.0162, 55.2988], [-144.5022, 55.2988]]]"
187,"[[[40.5212, 36.7164], [40.5212, 41.0371], [46.722, 41.0371], [46.722, 36.7164], [40.5212, 36.7164]]]"
188,"[[[-72.3412, 41.3298], [-72.3412, 48.598], [-68.7695, 48.598], [-68.7695, 41.3298], [-72.3412, 41.3298]]]"
189,"[[[-163.108, 64.0227], [-163.108, 68.4664], [-158.4442, 68.4664], [-158.4442, 64.0227], [-163.108, 64.0227]]]"
190,"[[[-78.1565, 43.0272], [-78.1565, 47.2078], [-72.4144, 47.2078], [-72.4144, 43.0272], [-78.1565, 43.0272]]]"
191,"[[[124.0156, -2.2489], [124.0156, 2.9319], [129.1616, 2.9319], [129.1616, -2.2489], [124.0156, -2.2489]]]"
192,"[[[-121.5822, 33.2634], [-121.5822, 37.7871], [-115.1711, 37.7871], [-115.1711, 33.2634], [-121.5822, 33.2634]]]"
193,"[[[-65.6449, 8.6345], [-65.6449, 13.4669], [-59.0212, 13.4669], [-59.0212, 8.6345], [-65.6449, 8.6345]]]"
194,"[[[81.5232, 31.5079], [81.5232, 37.9322], [88.5572, 37.9322], [88.5572, 31.5079], [81.5232, 31.5079]]]"
